,Location,Minute Delay
305,LAKE SHORE AND THIRD,12.0
306,QUEEN AND RONCESVALLES,14.0
307,BROADVIEW AND JACK LAY,12.0
308,QUEEN AND WOODBINE,23.0
309,SPADINA AND QUEEN'S QU,20.0
310,SPADINA AND QUEEN'S QU,20.0
311,LAKE SHORE AND PARK LA,12.0
312,DUNDAS AND PARLIAMENT,31.0
313,DUNDAS AND PARLIAMENT,28.0
314,DUNDAS WEST STATION,14.0
315,MAIN STREET STATION,8.0
316,DUNDAS AND LANSDOWNE,18.0
317,DUNDAS AND UNIVERSITY,15.0
318,SPADINA STATION,10.0
319,QUEEN AND BAY,56.0
320,QUEEN AND UNIVERSITY,12.0
321,NEVILLE PARK LOOP,32.0
322,LONG BRANCH LOOP,12.0
323,RONCESVALLES AND BOUST,12.0
324,BROADVIEW STATION,17.0
325,RUSSELL TRAILER TRACK,16.0
326,QUEEN AND CONNAUGHT,0.0
327,LANSDOWNE LOOP,16.0
328,SPADINA TUNNEL,22.0
329,CHARLOTTE LOOP,17.0
330,HIGH PARK LOOP,18.0
331,DUNDAS WEST STATION,10.0
332,DUNDAS WEST STATION,14.0
333,MAIN STREET STATION,20.0
334,KING AND SUDBURY,20.0
335,QUEEN AND LESLIE,0.0
336,QUEEN AND LESLIE,26.0
337,KING AND SHAW,40.0
338,HIGH PARK LOOP,0.0
339,DUNDAS AND OSSINGTON,14.0
340,ST CLAIR AND RUSSELL H,10.0
341,ST CLAIR WEST STATION,10.0
342,FLEET LOOP,16.0
343,KING AND DUFFERIN,14.0
344,QUEEN AND BATHURST,6.0
345,MAIN STREET STATION,10.0
346,COLLEGE AND LANSDOWNE,14.0
347,QUEEN AND BAY,27.0
348,DUNDAS AND BROADVIEW,14.0
349,OAKWOOD LOOP,10.0
350,KING AND SPADINA,11.0
351,HOWARD PARK LOOP,14.0
352,BATHURST STATION,12.0
353,DISTILLERY LOOP,10.0
354,ST CLAIR AND VAUGHAN,10.0
355,SHAW AND KING,8.0
356,QUEEN AND MCCAUL,16.0
357,BROADVIEW STATION,10.0
358,QUEEN AND JOHN,12.0
359,SPADINA AND SUSSEX,11.0
360,QUEEN AND LOGAN,32.0
361,QUEEN AND JARVIS,14.0
362,LESLIE AND COMISSIONER,0.0
363,HIGH PARK LOOP TO BROA,10.0
364,QUEEN AND CHURCH,18.0
365,NEVILLE LOOP,18.0
366,KING AND SUMACH,17.0
367,HIGH PARK LOOP,14.0
368,DISTILLERY LOOP,16.0
369,CARLTON AND CHURCH,22.0
370,KINGSTON AND DIXON,20.0
371,QUEEN AND GREENWOOD,20.0
372,BROADVIEW AND DUNDAS,14.0
373,DUNDAS AND BROADVIEW,14.0
374,BATHURST STATION,13.0
375,LAKESHORE AND FORTIETH,16.0
376,LONG BRANCH LOOP,60.0
377,ST CLAIR AND DUFFERIN,44.0
378,BATHURST STATION,14.0
379,GERRARD AND PARLIAMENT,8.0
380,LANSDOWNE AND COLLEGE,16.0
381,MARINE PARADE AND LAKE,16.0
382,LAKESHORE AND THIRTY S,8.0
383,DUNDAS AND BLOOR,10.0
384,GERRARD AND PARLIAMENT,10.0
385,PARLIAMENT AND GERRARD,10.0
386,QUEEN AND RONCESVALLES,12.0
387,FLEET AND GARRISON,16.0
388,QUEEN AND ST. PATRICK,0.0
389,QUEENSWAY AND RONCESVA,12.0
390,KING AND SHAW,14.0
391,UPPER GERRARD AND NORW,12.0
392,DUNDAS AND BLOOR,10.0
393,LAKE SHORE AND 40TH,0.0
394,EXHIBITION EAST LOOP,16.0
395,QUEEN AND RONCESVALLES,12.0
396,SPADINA AND COLLEGE,23.0
397,CHURCH AND QUEEN,20.0
398,DUNDAS AND BROADVIEW,14.0
399,LOWER SPADINA AND LAKE,10.0
400,QUEEN AND PARLIAMENT,18.0
401,RONCESVALLES AND QUEEN,0.0
402,RUSSELL YARD,0.0
403,DUNDAS WEST STATION,18.0
404,QUEEN AND RONCESVALLES,16.0
405,QUEEN AND ELMGROVE,12.0
406,QUEEN'S QUAY AND SPADI,18.0
407,DISTILLERY LOOP,20.0
408,LANSDOWNE LOOP,18.0
409,DUNDAS WEST STATION,0.0
410,GERRARD AND PARLIAMENT,18.0
411,QUEEN AND DEGRASI,44.0
412,KING AND SHAW,30.0
413,KING AND SUDBURY,10.0
414,TORONTO TRANSIT COMMIS,0.0
415,GERRARD AND PAPE,8.0
416,QUEEN AND CHURCH,19.0
417,QUEEN AND JOHN,8.0
418,SPADINA AND QUEENS QUA,14.0
419,QUEEN AND RONCESVALLES,12.0
420,QUEEN AND PARLIAMENT,20.0
421,LONG BRANCH LOOP,18.0
422,LAKE SHORE AND FORTIET,12.0
423,QUEEN AND RONCESVALLES,12.0
424,ST CLAIR AND LAUGHTON,8.0
425,DUNDAS WEST STATION,10.0
426,DUNDAS WEST STATION,10.0
427,EXHIBTION LOOP,16.0
428,QUEEN AND RONCESVALLES,12.0
429,DUNDAS WEST STATION,10.0
430,QUEEN AND RONCESVALLES,12.0
431,EXHIBITION LOOP,18.0
432,DUNDAS AND PEMBROOKE,19.0
433,QUEEN AND DEGRASSI,30.0
434,BROADVIEW MALE,19.0
435,GERRARD AND PAPE,8.0
436,KING AND SPADINA,24.0
437,SPADINA AND QUEEN'S QU,9.0
438,ST CLAIR AND KEELE,15.0
439,DUNDAS WEST STATION,10.0
440,MALVERN GARAGE,10.0
441,ST CLAIR AND ARLINGTON,10.0
442,MAIN STREET STATION,10.0
443,MCCAUL LOOP,27.0
